rho,seed,gain,round,receiver_id,delta_x,delta_y,true_position_after_x,true_position_after_y,action_number
0.01,11,0.5,11,1,-6.006201435537761e-06,-6.167638230358818e-06,2.0000060062014358,3.4641077827759856,11
0.01,11,0.5,12,1,-3.0031007176578584e-06,-3.0838191156234984e-06,2.0000030031007183,3.46410469895687,12
0.01,11,0.5,13,1,-1.501550359161996e-06,-1.5419095580337938e-06,2.000001501550359,3.4641031570473118,13
0.01,11,0.5,14,1,-7.507751793589534e-07,-7.7095477868383e-07,2.00000075077518,3.464102386092533,14
0.01,11,0.5,15,1,-3.753875894574321e-07,-3.854773891198704e-07,2.0000003753875903,3.464102000615144,15
0.01,11,0.5,16,1,-1.8769379517280527e-07,-1.927386950040244e-07,2.000000187693795,3.4641018078764487,16
0.01,11,0.5,17,1,-9.384689780844724e-08,-9.63693471689453e-08,2.0000000938468974,3.4641017115071016,17
0.01,11,0.5,18,1,-4.6923448682179014e-08,-4.818467314038344e-08,2.0000000469234487,3.4641016633224284,18
0.01,11,0.5,19,1,-2.3461724341089507e-08,-2.409233657019172e-08,2.000000023461724,3.464101639230092,19
0.01,23,0.5,1,1,-0.006149963858062879,0.002197469121788087,2.0061499638580624,3.461904146015967,1
0.01,23,0.5,2,1,-0.0030749819290312175,0.0010987345608937105,2.003074981929031,3.4630028805768607,2
0.01,23,0.5,3,1,-0.0015374909645156087,0.0005493672804468552,2.0015374909645156,3.4635522478573075,3
0.01,23,0.5,4,1,-0.0007687454822580264,0.0002746836402234276,2.0007687454822576,3.4638269314975307,4
0.01,23,0.5,5,1,-0.00038437274112879116,0.00013734182011138074,2.000384372741129,3.463964273317642,5
0.01,23,0.5,6,1,-0.00019218637056428456,6.867091005569037e-05,2.0001921863705645,3.464032944227698,6
0.01,23,0.5,7,1,-9.609318528203126e-05,3.433545502851132e-05,2.0000960931852827,3.4640672796827263,7
0.01,23,0.5,8,1,-4.8046592641348695e-05,1.7167727514477704e-05,2.0000480465926413,3.464084447410241,8
0.01,23,0.5,9,1,-2.4023296320674348e-05,8.583863756461696e-06,2.0000240232963207,3.4640930312739977,9
0.01,23,0.5,10,1,-1.2011648160337174e-05,4.29193187834187e-06,2.0000120116481606,3.464097323205876,10
0.01,23,0.5,11,1,-6.005824080279609e-06,2.1459659396150244e-06,2.0000060058240803,3.4640994691718157,11
0.01,23,0.5,12,1,-3.0029120401398046e-06,1.0729829695854676e-06,2.00000300291204,3.4641005421547852,12
0.01,23,0.5,13,1,-1.50145601995888e-06,5.364914845706892e-07,2.00000150145602,3.46410107864627,13
0.01,23,0.5,14,1,-7.5072800997944e-07,2.682457420633e-07,2.00000075072801,3.464101346892012,14
0.01,23,0.5,15,1,-3.753640047676754e-07,1.341228714757392e-07,2.000000375364005,3.4641014810148834,15
0.01,23,0.5,16,1,-1.876820023838377e-07,6.70614357378696e-08,2.000000187682003,3.464101548076319,16
0.01,23,0.5,17,1,-9.384100119191885e-08,3.35307177579125e-08,2.0000000938410016,3.4641015816070366,17
0.01,23,0.5,18,1,-4.692050081800403e-08,1.676535887895625e-08,2.000000046920501,3.4641015983723955,18
0.01,23,0.5,19,1,-2.3460250409002015e-08,8.382678995388915e-09,2.0000000234602506,3.4641016067550745,19
